Dates,Top 10 Gross,%± LW,Overall Gross,%± LW.1,Releases,#1 Release,Genre,Budget,Running Time,Week,Long Weekend
Jul 31-Aug 6,634397694.0,177.4,637332389.0,170.3,54,Spider-Man: Brand New Day,-,-,-,31,False
Jul 24-30,228711781.0,-24.1,235830488.0,-22.9,58,The Odyssey,-,-,-,30,False
Jul 17-23,301200910.0,59.9,306067585.0,57.7,57,The Odyssey,-,-,-,29,False
Jul 10-16,188355543.0,2.2,194088664.0,2.1,63,Moana,-,-,-,28,False
Jul 3-9,184379156.0,-23.5,190020511.0,-25.2,57,Minions & Monsters,-,-,-,27,False
Jun 26-Jul 2,241104223.0,-25.3,254062159.0,-23.8,59,Toy Story 5,-,-,-,26,False
Jun 19-25,322750048.0,87.5,333371013.0,80.3,62,Toy Story 5,-,-,-,25,False
Jun 12-18,172122230.0,-30.3,184904147.0,-28.5,62,Disclosure Day,-,-,-,24,False
Jun 5-11,246895627.0,-3.4,258750821.0,-3.8,66,Scary Movie,-,-,-,23,False
May 29-Jun 4,255717518.0,-4.3,268885035.0,-1.2,63,Backrooms,-,-,-,22,False
May 22-28,267136107.0,78.5,272278363.0,71.6,62,Star Wars: The Mandalorian and Grogu,-,-,-,21,False
May 15-21,149646921.0,-29.5,158706765.0,-26.7,72,Michael,-,-,-,20,False
May 8-14,212152557.0,-5.7,216381892.0,-6.2,66,The Devil Wears Prada 2,-,-,-,19,False
May 1-7,225019088.0,16.3,230706468.0,14.8,75,The Devil Wears Prada 2,-,-,-,18,False
Apr 24-30,193517252.0,67.3,201006567.0,61.4,78,Michael,-,-,-,17,False
Apr 17-23,115690573.0,-24.1,124504374.0,-21.6,74,The Super Mario Galaxy Movie,-,-,-,16,False
Apr 10-16,152393853.0,-44.3,158905036.0,-42.9,64,The Super Mario Galaxy Movie,-,-,-,15,False
Apr 3-9,273551954.0,45.4,278139328.0,42.1,76,The Super Mario Galaxy Movie,-,-,-,14,False
Mar 27-Apr 2,188166511.0,-0.4,195713428.0,1.3,70,Project Hail Mary,-,-,-,13,False
Mar 20-26,188889667.0,64.2,193207924.0,51.1,71,Project Hail Mary,-,-,-,12,False
Mar 13-19,115050185.0,0.1,127833787.0,2.1,77,Hoppers,-,-,-,11,False
Mar 6-12,114958610.0,-10.4,125181536.0,-11.9,78,Hoppers,-,-,-,10,False
Feb 27-Mar 5,128308365.0,56.6,142010465.0,41.1,84,Scream 7,-,-,-,9,False
Feb 20-26,81928447.0,-45.3,100678057.0,-39.7,87,GOAT,-,-,-,8,False
Feb 13-19,149896648.0,133.8,166941636.0,99.0,80,Wuthering Heights,-,-,-,7,False
Feb 6-12,64119386.0,-34.5,83882225.0,-25.2,80,Send Help,-,-,-,6,False
Jan 30-Feb 5,97861748.0,66.1,112158552.0,46.1,76,Send Help,-,-,-,5,False
Jan 23-29,58900172.0,-40.7,76776583.0,-38.7,77,Mercy,-,-,-,4,False
Jan 16-22,99296545.0,-13.6,125292677.0,-2.3,72,Avatar: Fire and Ash,-,-,-,3,False
Jan 9-15,114927794.0,-32.7,128231444.0,-28.4,63,Avatar: Fire and Ash,-,-,-,2,False
Jan 2-8,170708999.0,-47.2,179219029.0,-45.5,54,Avatar: Fire and Ash,-,-,-,1,False
